codi;titol_cicle;modul;buit;hores_modul;hlld;uf;hores_uf
;;;;;;UF3. Esdeveniments. Manegament de formularis. Model d'objectes del document. ;42
;;;;;;UF4. Comunicació asíncrona client-servidor.;30
;;MP07 Desenvolupament web en entorn servidor;;165-132;33;UF1. Desenvolupament web en entorn servidor. ;30
;;;;;;UF2. Generació dinàmica de pagines web. ;30
;;;;;;UF3. Tècniques d’accés a dades. ;30
;;;;;;UF4. Serveis web. Pàgines dinàmiques interactives. Webs Híbrids. ;42
;;MP08 Desplegament d'aplicacions web;;99;;UF1. Servidors web i de transferència de fitxers. ;39
;;;;;;UF2. Servidors d’aplicacions web. ;20
;;;;;;UF3. Desplegament d’aplicacions web. ;20
;;;;;;UF4. Control de versions i documentació. ;20
;;M09 Disseny d'interfícies web;;99;;UF1. Disseny de la interfície. Estils. ;39
;;;;;;UF2. Elements multimèdia: creació i integració. ;30
;;;;;;UF3. Accessibilitat i usabilitat. ;30
;;MP10 Formació i Orientació Laboral;;99;;UF1: Incorporació al treball. ;66
;;;;;;UF2: Prevenció de riscos laborals.;33
;;MP11 Empresa i iniciativa emprenedora;;66;;UF1: Empresa iniciativa emprenedora. ;66
;;MP12 Projecte ;;99;;UF1: Projecte desenvolupament;99
IC10;Sistemes Microinformàtics i Xarxes;MP01.  Muntatge i manteniment d’equips;;198 - 165;33;UF1 Electricitat a l’ordinador;25
;;;;;;UF2 Components d’un equip microinformàtic;28
;;;;;;UF3 Muntatge d’un equip microinformàtic;28
;;;;;;UF4 Noves tendències de muntatge;28
;;;;;;UF5 Manteniment d’equips microinformàtics;28
;;;;;;UF6 Instal·lació de programari;28
;;MP02. Sistemes Operatius Monolloc;;132-99;33;UF1 Introducció als sistemes operatius;33
;;;;;;UF2 Sistemes operatius propietaris;33
;;;;;;UF3 Sistemes operatius lliures.;33
;;MP03. Aplicacions ofimàtiques;;165;0;UF1 Aplicacions ofimàtiques i atenció a l’usuari;20
;;;;;;UF2 El correu i l’agenda electrònica ;20
;;;;;;UF3 Processadors de text  ;30
;;;;;;UF4 Fulls de càlcul  ;30
;;;;;;UF5 Bases de dades  ;35
;;;;;;UF6 Imatge i vídeo – Presentacions   ;30
;;MP04. Sistemes operatius en xarxa;;132;0;UF1 Sistemes operatius propietaris en xarxa;36
;;;;;;UF2 Sistemes operatius lliures en xarxa;36
;;;;;;UF3 Compartició de recursos i seguretat;24
;;;;;;UF4 Integració de sistemes operatius ;36
;;MP05. Xarxes locals;;165;0;UF1 Introducció a les xarxes locals;66
;;;;;;UF2 Configuració de commutadors  i encaminadors;66
;;;;;;UF3 Resolució d’incidències en xarxes locals;33
;;MP06.  Seguretat informàtica;;132;0;UF1 Seguretat passiva;24
;;;;;;UF2 Còpies de seguretat;26
;;;;;;UF3 Legislació de seguretat i protecció de dades;20
;;;;;;UF4 Seguretat activa;24
;;;;;;UF5 Tallafocs i monitoratge de xarxes;38
;;MP07.  Serveis de xarxa;;165-132;33;UF1 Configuració de la xarxa (DNS i DHCP);36
;;;;;;UF2 Correu electrònic i transmissió d’arxius;32
;;;;;;UF3 Servidor web i servidor intermediari o proxy;32
;;;;;;UF4 Accés a sistemes remots ;32
;;MP08.  Aplicacions Web;;198-165;33;UF1 Ofimàtica i eines web;22
;;;;;;UF2 Gestors d'arxius web;25
;;;;;;UF3 Gestors de continguts;30
;;;;;;UF4 Portals web d’aprenentatge;30
;;;;;;UF5 Fonaments d’HTML i fulls d’estils;58
;;MP09. FOL;;99;0;UF1. Incorporació al treball;66
;;;;;;UF2. Prevenció de riscos laborals;33
;;MP10. EiE;;66;0;UF1. Empresa i iniciativa emprenedora;66
;;MP11. Anglès ;;99;0;UF1. Anglès;99
;;MP12. Síntesi;;;;UF1. Síntesi;99
